티커,설명,가격,변화 %,변화,테크니컬 레이팅,거래량,볼륨*프라이스,마켓 캪,주가 수익 비율 (TTM),기초 주당 수익 (TTM),직원수,섹터
251270,넷마블보통주,51900,-2.80898876,-1500,뉴트럴,232558,12069760200,4375306054688,,-3644.1995,822,테크놀로지 서비스
047810,한국항공우주산업보통주,45850,2.34375,1050,셀,1094087,50163888950,4366884716797,33.70073402,1329.3479,5012,일렉트로닉 테크놀로지
028300,에이치엘비,36200,-1.09289617,-400,스트롱 셀,451630,16349006000,4258166729736.001,,-910.5789,87,헬쓰 테크놀로지
021240,코웨이보통주,57800,-1.1965812,-700,뉴트럴,109403,6323493400,4244504116058.001,9.04787397,6439.2921,6587,콘슈머 듀어러블즈
161390,한국타이어앤테크놀로지보통주,33600,0.44843049,150,셀,150363,5052196800,4080523830414,5.61164046,5960.8238,6742,콘슈머 듀어러블즈
000100,유한양행보통주,58500,-0.67911715,-400,바이,54349,3179416500,4014157024741,53.82105258,1037.2526,1878,헬쓰 테크놀로지
011790,SKC보통주,108500,-3.125,-3500,뉴트럴,253905,27548692500,4004146118164,41.34109631,2715.2482,,프로세스 인더스트리
950160,코오롱티슈진,11150,-2.19298246,-250,셀,333189,3715057350,3926732964000,,-656.6902,,헬쓰 테크놀로지
241560,두산밥캣보통주,40400,4.93506494,1900,스트롱 바이,611187,24691954800,3859592983246,7.96643338,4832.9676,97,프로듀서 매뉴팩처링
293490,카카오게임즈,43350,-2.58426966,-1150,바이,391228,16959733800,3655284294128,,6904.3549,,테크놀로지 서비스
010620,현대미포조선보통주,91000,0.22026432,200,셀,218813,19911983000,3616241345215,,671.5603,3024,프로듀서 매뉴팩처링
006800,미래에셋증권보통주,6530,-0.60882801,-40,뉴트럴,720027,4701776310,3596133041077,4.21590354,1558.3848,3809,파이낸스
